Date,Direction of Travel,Species
11/30/2010,IN,ACRGRY
11/30/2010,OUT,ACRGRY
11/30/2010,OUT,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,IN,NOTVIR
11/30/2010,OUT,ACRGRY
11/30/2010,OUT,ACRGRY
11/30/2010,OUT,AMBBIS
11/30/2010,IN,AMBBIS
11/30/2010,IN,AMBBIS
11/30/2010,IN,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,IN,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,OUT,EURQUA
11/30/2010,OUT,EURQUA
11/30/2010,OUT,EURQUA
11/30/2010,OUT,EURQUA
11/30/2010,IN,NOTVIR
11/30/2010,IN,PSEORN
11/30/2010,IN,GASCAR
11/30/2010,OUT,ACRGRY
11/30/2010,IN,NOTVIR
11/30/2010,OUT,NOTVIR
11/30/2010,,
11/30/2010,IN,ACRGRY
11/30/2010,IN,ACRGRY
11/30/2010,IN,ACRGRY
11/30/2010,IN,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,IN,RANUTR
11/30/2010,IN,THASAU
11/30/2010,OUT,THASIR
11/30/2010,IN,ACRGRY
11/30/2010,OUT,ACRGRY
11/30/2010,IN,ACRGRY
11/30/2010,IN,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,IN,AMBBIS
11/30/2010,IN,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,OUT,AMBBIS
11/30/2010,IN,EURQUA
11/30/2010,OUT,PSEORN
12/1/2010,OUT,AMBBIS
12/1/2010,IN,AMBBIS
12/1/2010,IN,AMBBIS
12/1/2010,IN,AMBBIS
12/1/2010,,
12/1/2010,IN,EURQUA
12/1/2010,OUT,NOTVIR
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/1/2010,IN,
12/1/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
